,year,month,day,category,count
624,2017,2,13,motor vehicle theft,51
625,2017,2,13,other,32
626,2017,2,13,theft,64
627,2017,2,13,vandalism,26
628,2017,2,13,weapon-related crime,3
629,2017,2,14,arson,1
630,2017,2,14,assault,6
631,2017,2,14,battery,19
632,2017,2,14,burglary,49
633,2017,2,14,child-related crimes,3
634,2017,2,14,disorderly conduct,5
635,2017,2,14,driving under the influence,12
636,2017,2,14,drug possession,54
637,2017,2,14,drunk in public,11
638,2017,2,14,fraud,6
639,2017,2,14,illegal conceal or carry of weapon,7
640,2017,2,14,"illegal sales, manufacture, or transport",2
641,2017,2,14,motor vehicle theft,34
642,2017,2,14,other,43
643,2017,2,14,"sex crimes, not child-related",9
644,2017,2,14,theft,78
645,2017,2,14,vandalism,21
646,2017,2,14,weapon-related crime,2
647,2017,2,15,assault,4
648,2017,2,15,battery,27
649,2017,2,15,burglary,44
650,2017,2,15,child-related crimes,2
651,2017,2,15,disorderly conduct,5
652,2017,2,15,driving under the influence,6
653,2017,2,15,drug possession,28
654,2017,2,15,drunk in public,9
655,2017,2,15,fraud,5
656,2017,2,15,illegal conceal or carry of weapon,2
657,2017,2,15,"illegal sales, manufacture, or transport",2
658,2017,2,15,motor vehicle theft,31
659,2017,2,15,other,45
660,2017,2,15,"sex crimes, not child-related",6
661,2017,2,15,theft,80
662,2017,2,15,vandalism,27
663,2017,2,15,weapon-related crime,3
664,2017,2,16,arson,2
665,2017,2,16,assault,12
666,2017,2,16,battery,22
667,2017,2,16,burglary,52
668,2017,2,16,disorderly conduct,5
669,2017,2,16,driving under the influence,15
670,2017,2,16,drug possession,35
671,2017,2,16,drunk in public,11
672,2017,2,16,fraud,7
673,2017,2,16,illegal conceal or carry of weapon,4
674,2017,2,16,"illegal sales, manufacture, or transport",1
675,2017,2,16,motor vehicle theft,39
676,2017,2,16,other,36
677,2017,2,16,"sex crimes, not child-related",7
678,2017,2,16,theft,81
679,2017,2,16,vandalism,33
680,2017,2,16,weapon-related crime,3
681,2017,2,17,assault,10
682,2017,2,17,battery,12
683,2017,2,17,burglary,52
684,2017,2,17,disorderly conduct,7
685,2017,2,17,driving under the influence,6
686,2017,2,17,drug possession,29
687,2017,2,17,drunk in public,12
688,2017,2,17,fraud,4
689,2017,2,17,illegal conceal or carry of weapon,1
690,2017,2,17,"illegal sales, manufacture, or transport",1
691,2017,2,17,motor vehicle theft,29
692,2017,2,17,other,31
693,2017,2,17,"sex crimes, not child-related",7
694,2017,2,17,theft,83
695,2017,2,17,vandalism,27
696,2017,2,17,weapon-related crime,1
697,2017,2,18,assault,8
698,2017,2,18,battery,22
699,2017,2,18,burglary,48
700,2017,2,18,disorderly conduct,10
701,2017,2,18,driving under the influence,10
702,2017,2,18,drug possession,29
703,2017,2,18,drunk in public,18
704,2017,2,18,fraud,5
705,2017,2,18,illegal conceal or carry of weapon,1
706,2017,2,18,"illegal sales, manufacture, or transport",2
707,2017,2,18,motor vehicle theft,36
708,2017,2,18,other,26
709,2017,2,18,"sex crimes, not child-related",4
710,2017,2,18,theft,67
711,2017,2,18,vandalism,23
712,2017,2,19,arson,1
713,2017,2,19,assault,9
714,2017,2,19,battery,24
715,2017,2,19,burglary,30
716,2017,2,19,child-related crimes,2
717,2017,2,19,disorderly conduct,7
718,2017,2,19,driving under the influence,20
719,2017,2,19,drug possession,29
720,2017,2,19,drunk in public,13
721,2017,2,19,fraud,1
722,2017,2,19,illegal conceal or carry of weapon,7
723,2017,2,19,"illegal sales, manufacture, or transport",2
724,2017,2,19,motor vehicle theft,32
725,2017,2,19,other,35
726,2017,2,19,"sex crimes, not child-related",5
727,2017,2,19,theft,81
728,2017,2,19,vandalism,36
729,2017,2,19,weapon-related crime,3
730,2017,2,2,arson,1
731,2017,2,2,assault,6
732,2017,2,2,attempted murder,1
733,2017,2,2,battery,25
734,2017,2,2,burglary,55
735,2017,2,2,child-related crimes,2
736,2017,2,2,disorderly conduct,1
737,2017,2,2,driving under the influence,7
738,2017,2,2,drug possession,55
739,2017,2,2,drunk in public,13
740,2017,2,2,fraud,9
741,2017,2,2,illegal conceal or carry of weapon,4
742,2017,2,2,"illegal sales, manufacture, or transport",5
743,2017,2,2,motor vehicle theft,45
744,2017,2,2,other,37
745,2017,2,2,"sex crimes, not child-related",9
746,2017,2,2,theft,92
747,2017,2,2,vandalism,25
748,2017,2,2,weapon-related crime,2
749,2017,2,20,arson,1
750,2017,2,20,assault,12
751,2017,2,20,battery,26
752,2017,2,20,burglary,48
753,2017,2,20,child-related crimes,4
754,2017,2,20,disorderly conduct,1
755,2017,2,20,driving under the influence,8
756,2017,2,20,drug possession,31
757,2017,2,20,drunk in public,15
758,2017,2,20,fraud,8
759,2017,2,20,illegal conceal or carry of weapon,6
760,2017,2,20,"illegal sales, manufacture, or transport",1
761,2017,2,20,motor vehicle theft,51
762,2017,2,20,other,43
763,2017,2,20,"sex crimes, not child-related",2
764,2017,2,20,theft,73
765,2017,2,20,vandalism,27
766,2017,2,20,weapon-related crime,3
767,2017,2,21,assault,9
768,2017,2,21,attempted murder,1
769,2017,2,21,battery,20
770,2017,2,21,burglary,56
771,2017,2,21,child-related crimes,3
772,2017,2,21,disorderly conduct,6
773,2017,2,21,driving under the influence,6
774,2017,2,21,drug possession,31
775,2017,2,21,drunk in public,13
776,2017,2,21,fraud,4
777,2017,2,21,illegal conceal or carry of weapon,3
778,2017,2,21,"illegal sales, manufacture, or transport",3
779,2017,2,21,motor vehicle theft,39
780,2017,2,21,other,58
781,2017,2,21,"sex crimes, not child-related",8
782,2017,2,21,theft,78
783,2017,2,21,vandalism,28
784,2017,2,21,weapon-related crime,5
785,2017,2,22,assault,16
786,2017,2,22,attempted murder,1
787,2017,2,22,battery,25
788,2017,2,22,burglary,52
789,2017,2,22,child-related crimes,1
790,2017,2,22,disorderly conduct,3
